Index,Comment,Correct Label,chatgpt by rohan
1,বৰ বেয়া লাগে। এওঁলোকে জীৱন টো অকল নিজৰ বুলি ভাৱে।,0,0
2,দেখাত জেহাদি জেহাদি লাগে,1,1
3,এই বিজেপিৰ দালালটোক কোনোবাই জোতাৰে কোবা ঐ,1,1
4,"তথাপিও ভোট বিজেপিকেই দিয়া হ'ব সিধা কথা লাগিলে ভিক্ষাৰি হ'ম তথাপিও ভোট বিজেপিকেই দিম,,",0,0
5,মদ খাই নিজৰ কেৰিয়াৰ ধ্বংস কৰিছে।,0,1
6,বিপ্লৱৰ কাইঁটীয়া পথ ইমান সহজ নহয় ঐ বাপুহঁত।সহজলভ্য জীৱন লাগে তোমালোকক????????,0,0
7,কবলৈ ভাষাই নাথাকে নিৰৱ হৈ চকুলো টুকাৰ বাহিৰে। নাৰীৰ হৈ পৃথিৱীলৈ অহাতো বহুত কষ্ট ।,0,1
8,"যিমানে ভন্দ হব, যিমাপে বেলগ ধৰ্মক বেয়া সমলোছনা কৰিব সিমানে গৌৰব কৰা ভক্ত আছে কি আছৰিত।",0,1
9,"ৰাষ্ট্ৰসংঘকে ভংগ কৰি দিব লাগে , কাম নাইকিয়া ৰাষ্ট্ৰসংঘ দুখন দেশৰ মাজত যুদ্ধ হৈই থাকিলেও ৰখাব নোৱাৰে যেতিয়া |",0,1
10,"ক্লা , ঐ ফকটীয়া ফাল্টু ঘোঁ‌ৰা চহিচ । কাম নাই যদি ষ্টেচনত ঝাড়ু মাৰ গৈ",1,1
11,হয় দিয়ক সকলোৱে গম পাব লাগিব যে এইজনিৰ মাহেকীয়া হৈছে বুলি।।তথাপি দুটা দিন বন্ধ নিদিয়ে মানে।ধিক্কাৰ মানব জাতি।,0,0
12,মাইকী জনীৰ চৰিএ ভাল নহয়।,1,1
13,অপদাৰ্থ চেনেল ৷ যেনকৈ উপস্হাপন কৰে যেন মতা মানুহেই ভুল কৰে৷,1,0
14,তহতৰ কতিতহে সুমুৱাব লাগে যাতে এনেবোৰ বাতৰি আগলৈ দিব নোৱাৰ ।,1,0
15,"Imdadul Islam Akand চোৱা ভাই তুমি চুদিব নোৱোৰাৰ বাবে ঘৈণীয়েৰে পাৰ্ট টাইম কাম কৰাৰ কাৰণে মানুহ বিছাৰি লৈছে
বৰ দুখৰ বিষয় এইটো মোক টো এবাৰ কব পাৰলি হয় তুমি নোৱাৰিছা বুলি ",1,1
16,কিয় দেখুৱালে বাৰু এতিয়া পৰীক্ষা হলত আঙুলি কেইবাটাও খুলি থৈ যা বুলি নকলেই হ'ল,0,0
17,যিয়ে কোচবিহাৰ ৰাজ্যৰ বিৰোধিতা কৰে সি মোগলৰ বংশধৰ আৰু কোচবিহাৰ ৰাজ্য হোৱাৰ লগে লগে বস্তুাত ভৰাই ব্ৰহ্মপুত্ৰ নদীত পেলাই দিয়া হব।,1,1
18,তাই বনৰী কম নহয় টকাৰ লুভিয়া তাইকো দেখাই দিয়ক ৰাইজৰ আগত ।চলদিলেহে কুকুৰে গললৈ উঠে,1,1
19,য'তেই নহওঁ‌ক কাৰোবাক এঘৰীয়া কৰিব লাগে বুলি যি প্ৰথমে কথাষাৰ উলিয়াই তাক দিনত নহ'লেও ৰাতি হ'লেও ঘপিয়াই ডিঙি ওলমাই দিব লাগে যাতে এই কামটো কৰিবলৈ মনত ভয় সোমাই,1,1
20,ছাৰৰ লগত কথা পতা ছোৱালী জনীৰে বেছিকে ভাদ মাহৰ ৰস জাগিছে যেন লাগিছে ।।,1,0
21,কথা পতা ছোৱালী জনী pukot khojuti বহুত চাগে pukor ফুটাত vut jalakia voraila gom pabo,1,0
22,আচলতে মেছেজটো দেখি এনে লাগিছে যেন ছোৱালীজনীৰ জোৰ কৰি মেছেজ কৰি অমোক টো দিয়া তমুকটো দিয়া কৈ আছে।,0,0
23,"সেইকাৰণে মইনাহঁত,,,, এই পেৰেম নে চেৰেম,,, বাদ দিয়া, নিজকে প্ৰতিষ্ঠিত কৰিব পৰাকৈ কিবা এটা কৰা,,,,বাইকৰ পকৰত উঠিবলৈ চিন্তা নকৰিবা, নিজৰ উপাৰ্জনৰ টকাৰে কাম কৰাৰ কথা ভাবা,",0,0
24,নিজৰ গুপ্তাংগটোকে কাটি এটা ভাল নিউজ‌ নকৰেনো কিয়।,1,0
25,"এতিয়া কোনোবা এখন মিউজিয়ামত ৰখাৰ ব্যৱস্থা কৰক অসম চৰকাৰে, মালটো ভাল জাতৰ আছিলে নে বেয়া জাতৰ আছিলে পৰীক্ষা কৰিবৰ বাবে",0,0
26,চাল্লা কি মানুহ,0,0
27,নাটক কৰিবলৈ স্থান নাইপোৱা চাগে.........মুঠতে চৰকাৰক সমালোচনা কৰিব লাগে কিন্তু চৰকাৰ চাকৰিও লাগে।এনেকোৱা কাৰ্য্য সমৰ্থন কৰা কেইতা তাতকৈ মহা মূৰ্খ হয়।,0,1
28,এইজন মিঞাহে হ'ব,1,0
29,"সুন্দৰৰ পূজাৰী | জ্বলাবোৰ জ্বলিবই কাৰন আনে ভাল কিবা এটা কৰিলে জ্বলাটো বংশগত বৈশিষ্ট সিহঁতৰ, চিন্তা নকৰিবা",1,0
30,মাকক চুদাটোৰ পকৰত ভলোকা বাহ ভৰাই দিব লাগে।,1,1
31,সত্য ৰনজন বৰা এতিয়া কব এইবোৰ মিঞা মুছলিম মানুহে কৰিছে! শিৱৰ ভক্ত বোৰক বদনাম কৰিবলৈ।,1,1
32,মোৰ বাৰীত আহিবি জাৱৰ চাফা কৰিবলৈ আৰু আমাৰ বাৰাণ্ডাত পানী অলপ আছে ডুব গৈ মলিবি আহ তেলা,0,1
33,সাধাৰণ মানুহ এগৰাকীয়ে ইয়াতকৈ ডাঙৰ সহায় কৰিলেও সংবাদ মাধ্যমে ঢুকি নাপায়। কিন্তু তাত আগতে কেমেৰা ৰেডি তাৰ পাছত অপাৰেশ্বন সহায় আৰম্ভ।,0,0
34,প্ৰেমৰ জুই নে চিতাৰ জুই ধৰিব নোৱাৰি নীৰৱে এৰিলে চুচু,1,1
35,সচাকৈ ভগৱানৰ আন এটা ৰূপ। চিকিৎসক সকল নাথাকিলে কিমান মানুহৰ যে মৃত্যু হ'ল হেঁতেন ভাৱিলেই ভয় লাগে।,0,1
